Distance[fm];Reid;Hard;Fine;ReidRepel*0.55;ReidAttrac;Fbufallo
0.025;1.75128e+09;-70546;-10463.8;1.29699e+09;-6.06887e+08;1.29698e+09
0.05;4.27765e+08;-70494.4;-20819.4;3.1817e+08;-1.50725e+08;3.18149e+08
0.075;1.83545e+08;-70408.2;-30961.8;1.37415e+08;-6.62994e+07;1.37384e+08
0.1;9.86856e+07;-70287.6;-40793;7.45098e+07;-3.67868e+07;7.4469e+07
0.125;5.98577e+07;-70132.6;-50223.6;4.56568e+07;-2.31547e+07;4.56066e+07
0.15;3.91038e+07;-69943.1;-59175.2;3.01816e+07;-1.57718e+07;3.01224e+07
0.175;2.68486e+07;-69719.1;-67581.4;2.10028e+07;-1.13382e+07;2.09352e+07
0.2;1.90963e+07;-69460.7;-75387.9;1.51645e+07;-8.47549e+06;1.50891e+07
0.225;1.39406e+07;-69167.9;-82552.7;1.12562e+07;-6.52523e+06;1.11737e+07
0.25;1.03799e+07;-68840.5;-89045.3;8.53632e+06;-5.14069e+06;8.44728e+06
0.275;7.84762e+06;-68478.8;-94845.9;6.58506e+06;-4.12522e+06;6.49022e+06
0.3;6.00452e+06;-68082.5;-99944.6;5.15078e+06;-3.36053e+06;5.05084e+06
0.325;4.63776e+06;-67651.8;-104340;4.07539e+06;-2.77204e+06;3.97105e+06
0.35;3.60869e+06;-67186.7;-108040;3.25574e+06;-2.31084e+06;3.1477e+06
0.375;2.82411e+06;-66687.1;-111056;2.62234e+06;-1.94378e+06;2.51128e+06
0.4;2.21968e+06;-66153.1;-113409;2.12709e+06;-1.64776e+06;2.01368e+06
0.425;1.75e+06;-65584.6;-115123;1.73595e+06;-1.40629e+06;1.62083e+06
0.45;1.38238e+06;-64981.6;-116225;1.42434e+06;-1.20734e+06;1.30812e+06
0.475;1.09293e+06;-64344.2;-116748;1.1742e+06;-1.04198e+06;1.05745e+06
0.5;863891;-63672.3;-116725;972051;-903475;855326
0.525;681930;-62966;-116194;807723;-786658;691529
0.55;536907;-62225.2;-115191;673437;-687524;558246
0.575;421042;-61450;-113756;563184;-602928;449427
0.6;328315;-60640.3;-111928;472280;-530376;360352
0.625;254027;-59796.2;-109745;397043;-467870;287298
0.65;194492;-58917.6;-107248;334559;-413797;227311
0.675;146797;-58004.5;-104473;282501;-366841;178028
0.7;108631;-57057;-101459;239006;-325925;137547
0.725;78149.3;-56075.1;-98241.5;202570;-290159;104328
0.75;53874.4;-55058.6;-94855;171972;-258802;77117.3
0.775;34619;-54007.8;-91332.7;146221;-231237;54888.3
0.8;19425.8;-52922.5;-87706.2;124504;-206945;36797.5
0.825;7520.48;-51802.7;-84004.8;106153;-185486;22148.6
0.85;-1724.3;-50648.4;-80256.1;90620.7;-166489;10364.6
0.875;-8818.02;-49459.8;-76485.6;77451.2;-149638;965.55
0.9;-14175.1;-48236.6;-72716.9;66268.2;-134663;-6448.74
0.925;-18132.9;-46979;-68971.3;56758.3;-121330;-12213
0.95;-20966.5;-45687;-65268.2;48660.4;-109440;-16607.7
0.975;-22900.2;-44360.5;-61624.8;41756.1;-98820.4;-19868.7
1;-24116.9;-42999.5;-58056.5;35862.5;-89321.5;-22194
1.025;-24765.9;-41604.1;-54576.7;30826;-80813.1;-23750.7
1.05;-24968.8;-40174.2;-51196.7;26517.3;-73182.1;-24679.4
1.075;-24824.5;-38709.9;-47926.4;22827.7;-66329.5;-25098.7
1.1;-24413.6;-37211.1;-44773.6;19665.3;-60168.6;-25108.4
1.125;-23801.4;-35677.9;-41744.8;16952.2;-54623.6;-24792.7
1.15;-23040.8;-34110.2;-38844.9;14622.7;-49627.6;-24222.2
1.175;-22174.5;-32508;-36077.3;12620.9;-45121.6;-23456.4
1.2;-21236.6;-30871.4;-33444.2;10899.5;-41053.8;-22544.7
1.225;-20254.5;-29200.4;-30946.7;9418.02;-37378.2;-21528.6
1.25;-19250;-27494.9;-28584.6;8142.22;-34054.1;-20442.4
1.275;-18240.2;-25754.9;-26357.1;7042.79;-31045.3;-19314.3
1.3;-17238.4;-23980.5;-24262.2;6094.76;-28319.8;-18167.4
1.325;-16254.9;-22171.6;-22297.4;5276.79;-25849.1;-17020.6
1.35;-15297.4;-20328.3;-20459.5;4570.63;-23607.6;-15888.9
1.375;-14371.5;-18450.5;-18744.8;3960.66;-21572.7;-14784.1
1.4;-13481.3;-16538.3;-17148.9;3433.51;-19724;-13715.4
1.425;-12629.5;-14591.6;-15667.4;2977.69;-18043.5;-12689.7
1.45;-11817.9;-12610.4;-14295.3;2583.37;-16514.9;-11711.9
1.475;-11047.1;-10594.8;-13027.6;2242.08;-15123.6;-10785.6
1.5;-10317.3;-8544.77;-11859.1;1946.57;-13856.5;-9912.57
1.525;-9628.12;-6460.26;-10784.5;1690.59;-12701.9;-9093.92
1.55;-8978.79;-4341.29;-9798.39;1468.75;-11649.2;-8329.64
1.575;-8368.21;-2187.87;-8895.46;1276.42;-10689;-7619.04
